Year,Country,Gold,Silver,Bronze,Total,TiedWith
2018,Norway,14,14,11,39,Norway
2018,Germany,14,10,7,31,Germany
2018,Canada,11,8,10,29,Canada
2018,United States,9,8,6,23,United States
2018,Netherlands,8,6,6,20,Netherlands
2018,South Korea,5,8,4,17,South Korea|OAR
2018,OAR,2,6,9,17,South Korea|OAR
2018,Switzerland,5,6,4,15,Switzerland|France
2018,France,5,4,6,15,Switzerland|France
2018,Sweden,7,6,1,14,Sweden|Austria
2018,Austria,5,3,6,14,Sweden|Austria
2018,Japan,4,5,4,13,Japan
2018,Italy,3,2,5,10,Italy
2018,China,1,6,2,9,China
2018,Czech Republic,2,2,3,7,Czech Republic
2018,Finland,1,1,4,6,Finland
2018,Great Britain,1,0,4,5,Great Britain
2018,Belarus,2,1,0,3,Belarus|Slovakia|Australia
2018,Slovakia,1,2,0,3,Belarus|Slovakia|Australia
2018,Australia,0,2,1,3,Belarus|Slovakia|Australia
2018,Poland,1,0,1,2,Poland|Slovenia|Spain|New Zealand
2018,Slovenia,0,1,1,2,Poland|Slovenia|Spain|New Zealand
2018,Spain,0,0,2,2,Poland|Slovenia|Spain|New Zealand
2018,New Zealand,0,0,2,2,Poland|Slovenia|Spain|New Zealand
2018,Hungary,1,0,0,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Ukraine,1,0,0,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Belgium,0,1,0,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Kazakhstan,0,0,1,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Latvia,0,0,1,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Liechtenstein,0,0,1,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2014,Russia,13,11,9,33,Russia
2014,United States,9,7,12,28,United States
2014,Norway,11,5,10,26,Norway
2014,Canada,10,10,5,25,Canada
2014,Netherlands,8,7,9,24,Netherlands
2014,Germany,8,6,5,19,Germany
2014,Austria,4,8,5,17,Austria
2014,France,4,4,7,15,France|Sweden
2014,Sweden,2,7,6,15,France|Sweden
2014,Switzerland,6,3,2,11,Switzerland
2014,China,3,4,2,9,China
2014,South Korea,3,3,2,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Czech Republic,2,4,2,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Slovenia,2,2,4,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Japan,1,4,3,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Italy,0,2,6,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Belarus,5,0,1,6,Belarus|Poland
2014,Poland,4,1,1,6,Belarus|Poland
2014,Finland,1,3,1,5,Finland
2014,Great Britain,1,1,2,4,Great Britain|Latvia
2014,Latvia,0,2,2,4,Great Britain|Latvia
2014,Australia,0,2,1,3,Australia
2014,Ukraine,1,0,1,2,Ukraine
2014,Slovakia,1,0,0,1,Slovakia|Croatia|Kazakhstan
2014,Croatia,0,1,0,1,Slovakia|Croatia|Kazakhstan
2014,Kazakhstan,0,0,1,1,Slovakia|Croatia|Kazakhstan
2010,United States,9,15,13,37,United States
2010,Germany,10,13,7,30,Germany
2010,Canada,14,7,5,26,Canada
2010,Norway,9,8,6,23,Norway
2010,Austria,4,6,6,16,Austria
2010,Russia,3,5,7,15,Russia
2010,South Korea,6,6,2,14,South Korea
2010,Sweden,5,2,4,11,Sweden|China|France
2010,China,5,2,4,11,Sweden|China|France
2010,France,2,3,6,11,Sweden|China|France
2010,Switzerland,6,0,3,9,Switzerland
2010,Netherlands,4,1,3,8,Netherlands
2010,Czech Republic,2,0,4,6,Czech Republic|Poland
2010,Poland,1,3,2,6,Czech Republic|Poland
2010,Italy,1,1,3,5,Italy|Japan|Finland
2010,Japan,0,3,2,5,Italy|Japan|Finland
2010,Finland,0,1,4,5,Italy|Japan|Finland
2010,Australia,2,1,0,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Slovakia,1,1,1,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Belarus,1,1,1,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Croatia,0,2,1,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Slovenia,0,2,1,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Latvia,0,2,0,2,Latvia
2010,Great Britain,1,0,0,1,Great Britain|Kazakhstan|Estonia
2010,Kazakhstan,0,1,0,1,Great Britain|Kazakhstan|Estonia
2010,Estonia,0,1,0,1,Great Britain|Kazakhstan|Estonia
2006,Germany,11,12,6,29,Germany
2006,United States,9,9,7,25,United States
2006,Canada,7,10,7,24,Canada
2006,Austria,9,7,7,23,Austria
2006,Russia,8,6,8,22,Russia
2006,Norway,2,8,9,19,Norway
2006,Sweden,7,2,5,14,Sweden|Switzerland
2006,Switzerland,5,4,5,14,Sweden|Switzerland
2006,South Korea,6,3,2,11,South Korea|Italy|China
2006,Italy,5,0,6,11,South Korea|Italy|China
2006,China,2,4,5,11,South Korea|Italy|China
2006,France,3,2,4,9,France|Netherlands|Finland
2006,Netherlands,3,2,4,9,France|Netherlands|Finland
2006,Finland,0,6,3,9,France|Netherlands|Finland
2006,Czech Republic,1,2,1,4,Czech Republic
2006,Estonia,3,0,0,3,Estonia|Croatia
2006,Croatia,1,2,0,3,Estonia|Croatia
2006,Australia,1,0,1,2,Australia|Poland|Ukraine
2006,Poland,0,1,1,2,Australia|Poland|Ukraine
2006,Ukraine,0,0,2,2,Australia|Poland|Ukraine
2006,Japan,1,0,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Great Britain,0,1,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Slovakia,0,1,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Bulgaria,0,1,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Belarus,0,1,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Latvia,0,0,1,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2002,Germany,12,16,8,36,Germany
2002,United States,10,13,11,34,United States
2002,Norway,13,5,7,25,Norway
2002,Canada,7,3,7,17,Canada|Austria
2002,Austria,3,4,10,17,Canada|Austria
2002,Russia,5,4,4,13,Russia|Italy
2002,Italy,4,4,5,13,Russia|Italy
2002,France,4,5,2,11,France|Switzerland
2002,Switzerland,3,2,6,11,France|Switzerland
2002,Netherlands,3,5,0,8,Netherlands|China
2002,China,2,2,4,8,Netherlands|China
2002,Finland,4,2,1,7,Finland|Sweden
2002,Sweden,0,2,5,7,Finland|Sweden
2002,Croatia,3,1,0,4,Croatia|South Korea
2002,South Korea,2,2,0,4,Croatia|South Korea
2002,Czech Republic,1,2,0,3,Czech Republic|Estonia|Bulgaria
2002,Estonia,1,1,1,3,Czech Republic|Estonia|Bulgaria
2002,Bulgaria,0,1,2,3,Czech Republic|Estonia|Bulgaria
2002,Australia,2,0,0,2,Australia|Great Britain|Poland|Japan
2002,Great Britain,1,0,1,2,Australia|Great Britain|Poland|Japan
2002,Poland,0,1,1,2,Australia|Great Britain|Poland|Japan
2002,Japan,0,1,1,2,Australia|Great Britain|Poland|Japan
2002,Belarus,0,0,1,1,Belarus|Slovenia
2002,Slovenia,0,0,1,1,Belarus|Slovenia
1998,Germany,12,9,8,29,Germany
1998,Norway,10,10,5,25,Norway
1998,Russia,9,6,3,18,Russia
1998,Austria,3,5,9,17,Austria
1998,Canada,6,5,4,15,Canada
1998,United States,6,3,4,13,United States
1998,Finland,2,4,6,12,Finland
1998,Netherlands,5,4,2,11,Netherlands
1998,Japan,5,1,4,10,Japan|Italy
1998,Italy,2,6,2,10,Japan|Italy
1998,France,2,1,5,8,France|China
1998,China,0,6,2,8,France|China
1998,Switzerland,2,2,3,7,Switzerland
1998,South Korea,3,1,2,6,South Korea
1998,Czech Republic,1,1,1,3,Czech Republic|Sweden
1998,Sweden,0,2,1,3,Czech Republic|Sweden
1998,Belarus,0,0,2,2,Belarus|Kazakhstan
1998,Kazakhstan,0,0,2,2,Belarus|Kazakhstan
1998,Bulgaria,1,0,0,1,Bulgaria|Denmark|Ukraine|Great Britain|Australia|Belgium
1998,Denmark,0,1,0,1,Bulgaria|Denmark|Ukraine|Great Britain|Australia|Belgium
1998,Ukraine,0,1,0,1,Bulgaria|Denmark|Ukraine|Great Britain|Australia|Belgium
1998,Great Britain,0,0,1,1,Bulgaria|Denmark|Ukraine|Great Britain|Australia|Belgium
1998,Australia,0,0,1,1,Bulgaria|Denmark|Ukraine|Great Britain|Australia|Belgium
1998,Belgium,0,0,1,1,Bulgaria|Denmark|Ukraine|Great Britain|Australia|Belgium
1994,Norway,10,11,5,26,Norway
1994,Germany,9,7,8,24,Germany
1994,Russia,11,8,4,23,Russia
1994,Italy,7,5,8,20,Italy
1994,United States,6,5,2,13,United States|Canada
1994,Canada,3,6,4,13,United States|Canada
1994,Switzerland,3,4,2,9,Switzerland|Austria
1994,Austria,2,3,4,9,Switzerland|Austria
1994,South Korea,4,1,1,6,South Korea|Finland
1994,Finland,0,1,5,6,South Korea|Finland
1994,Japan,1,2,2,5,Japan|France
1994,France,0,1,4,5,Japan|France
1994,Netherlands,0,1,3,4,Netherlands
1994,Sweden,2,1,0,3,Sweden|Kazakhstan|China|Slovenia
1994,Kazakhstan,1,2,0,3,Sweden|Kazakhstan|China|Slovenia
1994,China,0,1,2,3,Sweden|Kazakhstan|China|Slovenia
1994,Slovenia,0,0,3,3,Sweden|Kazakhstan|China|Slovenia
1994,Ukraine,1,0,1,2,Ukraine|Belarus|Great Britain
1994,Belarus,0,2,0,2,Ukraine|Belarus|Great Britain
1994,Great Britain,0,0,2,2,Ukraine|Belarus|Great Britain
1994,Uzbekistan,1,0,0,1,Uzbekistan|Australia
1994,Australia,0,0,1,1,Uzbekistan|Australia
1992,Germany,10,10,6,26,Germany
1992,Unified Team,9,6,8,23,Unified Team
1992,Austria,6,7,8,21,Austria
1992,Norway,9,6,5,20,Norway
1992,Italy,4,6,4,14,Italy
1992,United States,5,4,2,11,United States
1992,France,3,5,1,9,France
1992,Finland,3,1,3,7,Finland|Canada|Japan
1992,Canada,2,3,2,7,Finland|Canada|Japan
1992,Japan,1,2,4,7,Finland|Canada|Japan
1992,South Korea,2,1,1,4,South Korea|Netherlands|Sweden
1992,Netherlands,1,1,2,4,South Korea|Netherlands|Sweden
1992,Sweden,1,0,3,4,South Korea|Netherlands|Sweden
1992,Switzerland,1,0,2,3,Switzerland|China|Czechoslovakia
1992,China,0,3,0,3,Switzerland|China|Czechoslovakia
1992,Czechoslovakia,0,0,3,3,Switzerland|China|Czechoslovakia
1992,Luxembourg,0,2,0,2,Luxembourg
1992,New Zealand,0,1,0,1,New Zealand|Spain|North Korea
1992,Spain,0,0,1,1,New Zealand|Spain|North Korea
1992,North Korea,0,0,1,1,New Zealand|Spain|North Korea
1988,Soviet Union,11,9,9,29,Soviet Union
1988,East Germany,9,10,6,25,East Germany
1988,Switzerland,5,5,5,15,Switzerland
1988,Austria,3,5,2,10,Austria
1988,West Germany,2,4,2,8,West Germany
1988,Finland,4,1,2,7,Finland|Netherlands
1988,Netherlands,3,2,2,7,Finland|Netherlands
1988,Sweden,4,0,2,6,Sweden|United States
1988,United States,2,1,3,6,Sweden|United States
1988,Italy,2,1,2,5,Italy|Norway|Canada
1988,Norway,0,3,2,5,Italy|Norway|Canada
1988,Canada,0,2,3,5,Italy|Norway|Canada
1988,Yugoslavia,0,2,1,3,Yugoslavia|Czechoslovakia
1988,Czechoslovakia,0,1,2,3,Yugoslavia|Czechoslovakia
1988,France,1,0,1,2,France
1988,Liechtenstein,0,0,1,1,Liechtenstein|Japan
1988,Japan,0,0,1,1,Liechtenstein|Japan
1984,Soviet Union,6,10,9,25,Soviet Union
1984,East Germany,9,9,6,24,East Germany
1984,Finland,4,3,6,13,Finland
1984,Norway,3,2,4,9,Norway
1984,United States,4,4,0,8,United States|Sweden
1984,Sweden,4,2,2,8,United States|Sweden
1984,Czechoslovakia,0,2,4,6,Czechoslovakia
1984,Switzerland,2,2,1,5,Switzerland
1984,West Germany,2,1,1,4,West Germany|Canada
1984,Canada,2,1,1,4,West Germany|Canada
1984,France,0,1,2,3,France
1984,Italy,2,0,0,2,Italy|Liechtenstein
1984,Liechtenstein,0,0,2,2,Italy|Liechtenstein
1984,Great Britain,1,0,0,1,Great Britain|Yugoslavia|Japan|Austria
1984,Yugoslavia,0,1,0,1,Great Britain|Yugoslavia|Japan|Austria
1984,Japan,0,1,0,1,Great Britain|Yugoslavia|Japan|Austria
1984,Austria,0,0,1,1,Great Britain|Yugoslavia|Japan|Austria
1980,East Germany,9,7,7,23,East Germany
1980,Soviet Union,10,6,6,22,Soviet Union
1980,United States,6,4,2,12,United States
1980,Norway,1,3,6,10,Norway
1980,Finland,1,5,3,9,Finland
1980,Austria,3,2,2,7,Austria
1980,Switzerland,1,1,3,5,Switzerland|West Germany
1980,West Germany,0,2,3,5,Switzerland|West Germany
1980,Sweden,3,0,1,4,Sweden|Liechtenstein|Netherlands
1980,Liechtenstein,2,2,0,4,Sweden|Liechtenstein|Netherlands
1980,Netherlands,1,2,1,4,Sweden|Liechtenstein|Netherlands
1980,Italy,0,2,0,2,Italy|Canada
1980,Canada,0,1,1,2,Italy|Canada
1980,Great Britain,1,0,0,1,Great Britain|Japan|Hungary|France|Bulgaria|Czechoslovakia
1980,Japan,0,1,0,1,Great Britain|Japan|Hungary|France|Bulgaria|Czechoslovakia
1980,Hungary,0,1,0,1,Great Britain|Japan|Hungary|France|Bulgaria|Czechoslovakia
1980,France,0,0,1,1,Great Britain|Japan|Hungary|France|Bulgaria|Czechoslovakia
1980,Bulgaria,0,0,1,1,Great Britain|Japan|Hungary|France|Bulgaria|Czechoslovakia
1980,Czechoslovakia,0,0,1,1,Great Britain|Japan|Hungary|France|Bulgaria|Czechoslovakia
1976,Soviet Union,13,6,8,27,Soviet Union
1976,East Germany,7,5,7,19,East Germany
1976,United States,3,3,4,10,United States|West Germany
1976,West Germany,2,5,3,10,United States|West Germany
1976,Norway,3,3,1,7,Norway|Finland
1976,Finland,2,4,1,7,Norway|Finland
1976,Austria,2,2,2,6,Austria|Netherlands
1976,Netherlands,1,2,3,6,Austria|Netherlands
1976,Switzerland,1,3,1,5,Switzerland
1976,Italy,1,2,1,4,Italy
1976,Canada,1,1,1,3,Canada
1976,Sweden,0,0,2,2,Sweden|Liechtenstein
1976,Liechtenstein,0,0,2,2,Sweden|Liechtenstein
1976,Great Britain,1,0,0,1,Great Britain|Czechoslovakia|France
1976,Czechoslovakia,0,1,0,1,Great Britain|Czechoslovakia|France
1976,France,0,0,1,1,Great Britain|Czechoslovakia|France
1972,Soviet Union,8,5,3,16,Soviet Union
1972,East Germany,4,3,7,14,East Germany
1972,Norway,2,5,5,12,Norway
1972,Switzerland,4,3,3,10,Switzerland
1972,Netherlands,4,3,2,9,Netherlands
1972,United States,3,2,3,8,United States
1972,West Germany,3,1,1,5,West Germany|Italy|Austria|Finland
1972,Italy,2,2,1,5,West Germany|Italy|Austria|Finland
1972,Austria,1,2,2,5,West Germany|Italy|Austria|Finland
1972,Finland,0,4,1,5,West Germany|Italy|Austria|Finland
1972,Sweden,1,1,2,4,Sweden
1972,Japan,1,1,1,3,Japan|Czechoslovakia|France
1972,Czechoslovakia,1,0,2,3,Japan|Czechoslovakia|France
1972,France,0,1,2,3,Japan|Czechoslovakia|France
1972,Poland,1,0,0,1,Poland|Spain|Canada
1972,Spain,1,0,0,1,Poland|Spain|Canada
1972,Canada,0,1,0,1,Poland|Spain|Canada
1968,Norway,6,6,2,14,Norway
1968,Soviet Union,5,5,3,13,Soviet Union
1968,Austria,3,4,4,11,Austria
1968,France,4,3,2,9,France|Netherlands
1968,Netherlands,3,3,3,9,France|Netherlands
1968,Sweden,3,2,3,8,Sweden
1968,West Germany,2,2,3,7,West Germany|United States
1968,United States,1,5,1,7,West Germany|United States
1968,Switzerland,0,2,4,6,Switzerland
1968,East Germany,1,2,2,5,East Germany|Finland
1968,Finland,1,2,2,5,East Germany|Finland
1968,Italy,4,0,0,4,Italy|Czechoslovakia
1968,Czechoslovakia,1,2,1,4,Italy|Czechoslovakia
1968,Canada,1,1,1,3,Canada
1968,Romania,0,0,1,1,Romania
1964,Soviet Union,11,8,6,25,Soviet Union
1964,Norway,3,6,6,15,Norway
1964,Austria,4,5,3,12,Austria
1964,Finland,3,4,3,10,Finland
1964,Germany,3,3,3,9,Germany
1964,France,3,4,0,7,France|Sweden|United States
1964,Sweden,3,3,1,7,France|Sweden|United States
1964,United States,1,2,4,7,France|Sweden|United States
1964,Italy,0,1,3,4,Italy
1964,Canada,1,1,1,3,Canada
1964,Netherlands,1,1,0,2,Netherlands
1964,Great Britain,1,0,0,1,Great Britain|North Korea|Czechoslovakia
1964,North Korea,0,1,0,1,Great Britain|North Korea|Czechoslovakia
1964,Czechoslovakia,0,0,1,1,Great Britain|North Korea|Czechoslovakia
1960,Soviet Union,7,5,9,21,Soviet Union
1960,United States,3,4,3,10,United States
1960,Germany,4,3,1,8,Germany|Finland
1960,Finland,2,3,3,8,Germany|Finland
1960,Sweden,3,2,2,7,Sweden
1960,Norway,3,3,0,6,Norway|Austria
1960,Austria,1,2,3,6,Norway|Austria
1960,Canada,2,1,1,4,Canada
1960,France,1,0,2,3,France
1960,Switzerland,2,0,0,2,Switzerland|Netherlands|Poland
1960,Netherlands,0,1,1,2,Switzerland|Netherlands|Poland
1960,Poland,0,1,1,2,Switzerland|Netherlands|Poland
1960,Czechoslovakia,0,1,0,1,Czechoslovakia|Italy
1960,Italy,0,0,1,1,Czechoslovakia|Italy
1956,Soviet Union,7,3,6,16,Soviet Union
1956,Austria,4,3,4,11,Austria
1956,Sweden,2,4,4,10,Sweden
1956,Finland,3,3,1,7,Finland|United States
1956,United States,2,3,2,7,Finland|United States
1956,Switzerland,3,2,1,6,Switzerland
1956,Norway,2,1,1,4,Norway
1956,Italy,1,2,0,3,Italy|Canada
1956,Canada,0,1,2,3,Italy|Canada
1956,Germany,1,0,1,2,Germany
1956,Japan,0,1,0,1,Japan|Poland|Hungary
1956,Poland,0,0,1,1,Japan|Poland|Hungary
1956,Hungary,0,0,1,1,Japan|Poland|Hungary
1952,Norway,7,3,6,16,Norway
1952,United States,4,6,1,11,United States
1952,Finland,3,4,2,9,Finland
1952,Austria,2,4,2,8,Austria
1952,Germany,3,2,2,7,Germany
1952,Sweden,0,0,4,4,Sweden
1952,Netherlands,0,3,0,3,Netherlands
1952,Italy,1,0,1,2,Italy|Canada|Switzerland
1952,Canada,1,0,1,2,Italy|Canada|Switzerland
1952,Switzerland,0,0,2,2,Italy|Canada|Switzerland
1952,Great Britain,1,0,0,1,Great Britain|France|Hungary
1952,France,0,0,1,1,Great Britain|France|Hungary
1952,Hungary,0,0,1,1,Great Britain|France|Hungary
1948,Norway,4,3,3,10,Norway|Sweden|Switzerland
1948,Sweden,4,3,3,10,Norway|Sweden|Switzerland
1948,Switzerland,3,4,3,10,Norway|Sweden|Switzerland
1948,United States,3,4,2,9,United States
1948,Austria,1,3,4,8,Austria
1948,Finland,1,3,2,6,Finland
1948,France,2,1,2,5,France
1948,Canada,2,0,1,3,Canada
1948,Belgium,1,1,0,2,Belgium|Great Britain
1948,Great Britain,0,0,2,2,Belgium|Great Britain
1948,Italy,1,0,0,1,Italy|Hungary|Czechoslovakia
1948,Hungary,0,1,0,1,Italy|Hungary|Czechoslovakia
1948,Czechoslovakia,0,1,0,1,Italy|Hungary|Czechoslovakia
1936,Norway,7,5,3,15,Norway
1936,Sweden,2,2,3,7,Sweden
1936,Germany,3,3,0,6,Germany|Finland
1936,Finland,1,2,3,6,Germany|Finland
1936,Austria,1,1,2,4,Austria|United States
1936,United States,1,0,3,4,Austria|United States
1936,Switzerland,1,2,0,3,Switzerland|Great Britain
1936,Great Britain,1,1,1,3,Switzerland|Great Britain
1936,Canada,0,1,0,1,Canada|France|Hungary
1936,France,0,0,1,1,Canada|France|Hungary
1936,Hungary,0,0,1,1,Canada|France|Hungary
1932,United States,6,4,2,12,United States
1932,Norway,3,4,3,10,Norway
1932,Canada,1,1,5,7,Canada
1932,Sweden,1,2,0,3,Sweden|Finland
1932,Finland,1,1,1,3,Sweden|Finland
1932,Austria,1,1,0,2,Austria|Germany
1932,Germany,0,0,2,2,Austria|Germany
1932,France,1,0,0,1,France|Switzerland|Hungary
1932,Switzerland,0,1,0,1,France|Switzerland|Hungary
1932,Hungary,0,0,1,1,France|Switzerland|Hungary
1928,Norway,6,4,5,15,Norway
1928,United States,2,2,2,6,United States
1928,Sweden,2,2,1,5,Sweden
1928,Finland,2,1,1,4,Finland|Austria
1928,Austria,0,3,1,4,Finland|Austria
1928,France,1,0,0,1,France|Canada|Great Britain|Germany|Czechoslovakia|Belgium|Switzerland
1928,Canada,1,0,0,1,France|Canada|Great Britain|Germany|Czechoslovakia|Belgium|Switzerland
1928,Great Britain,0,0,1,1,France|Canada|Great Britain|Germany|Czechoslovakia|Belgium|Switzerland
1928,Germany,0,0,1,1,France|Canada|Great Britain|Germany|Czechoslovakia|Belgium|Switzerland
1928,Czechoslovakia,0,0,1,1,France|Canada|Great Britain|Germany|Czechoslovakia|Belgium|Switzerland
1928,Belgium,0,0,1,1,France|Canada|Great Britain|Germany|Czechoslovakia|Belgium|Switzerland
1928,Switzerland,0,0,1,1,France|Canada|Great Britain|Germany|Czechoslovakia|Belgium|Switzerland
1924,Norway,4,7,6,17,Norway
1924,Finland,4,4,3,11,Finland
1924,United States,1,2,1,4,United States|Great Britain
1924,Great Britain,1,1,2,4,United States|Great Britain
1924,Austria,2,1,0,3,Austria|Switzerland|France
1924,Switzerland,2,0,1,3,Austria|Switzerland|France
1924,France,0,0,3,3,Austria|Switzerland|France
1924,Sweden,1,1,0,2,Sweden
1924,Canada,1,0,0,1,Canada|Mixed team|Belgium
1924,Mixed team,1,0,0,1,Canada|Mixed team|Belgium
1924,Belgium,0,0,1,1,Canada|Mixed team|Belgium